S.No.,Title,Type,Language(s),accepted,partially-accepted
1071,greatest common divisor of strings,general,cpp,1,0
1074,number of submatrices that sum to target,general,cpp,1,1
1075,project employees I,database,mysql,1,0
1078,occurrences after bigram,general,cpp,2,0
1079,letter tile possibilities,general,cpp,2,0
1081,smallest subsequence of distinct characters,general,cpp,1,0
1084,sales analysis III,database,mysql,3,0
1089,duplicate zeros,general,cpp,1,0
1090,largest values from labels,general,cpp,1,0
1091,shortest path in binary matrix,general,cpp,2,0
1093,statistics from a large sample,general,cpp,1,0
1094,car pooling,general,cpp,1,0
1103,distribute candies to people,general,cpp,1,0
1104,path in zigzag labelled binary tree,general,cpp,1,0
1105,filling bookcase shelves,general,cpp,1,1
1106,parsing a boolean expression,general,cpp,1,0
1108,defanging an IP address,general,cpp,1,0
1109,corporate flight bookings,general,cpp,1,0
1110,delete nodes and return forest,general,cpp,1,0
1122,relative sort array,general,cpp,2,0
1123,lowest common ancestor of deepest leaves,general,cpp,1,0
1124,longest well performing interval,general,cpp,2,0
1128,number of equivalent domino pairs,general,cpp,3,0
1129,shortest path with alternating colors,general,cpp,1,0
1131,maximum of absolute value expression,general,cpp,0,1
1137,nth tribonacci number,general,cpp,1,0
1138,alphabet board path,general,cpp,1,0
1140,stone game II,general,cpp,1,1
1141,user activity for the past 30 days I,database,mysql,1,0
1143,longest common subsequence,general,cpp,5,1
1146,snapshot array,general,cpp,1,1
1148,article views I,database,mysql,1,0
1154,day of the year,general,cpp+js,1+2,0+0
1155,number of dice rolls with target sum,general,cpp,5,0
1157,online majority element in subarray,general,cpp,0,1
1158,market analysis I,database,mysql,2,0
1160,find words that can be formed by characters,general,cpp,1,0
1161,maximum level sum of a binary tree,general,cpp,1,0
1162,as far from land as possible,general,cpp,1,1
1164,product price at a given date,database,mysql,2,0
1169,invalid transactions,general,cpp,1,0
1170,compare strings by frequency of the smallest character,general,cpp,2,1
1171,remove zero sum consecutive nodes from linked list,general,cpp,1,0
1173,immediate food delivery I,database,mysql,3,0
1174,immediate food delivery II,database,mysql,2,0
1175,prime arrangements,general,cpp,1,0
1177,can make palindrome from substring,general,cpp,1,1
1179,reformat department table,database,mysql,1,0
1184,distance between bus stops,general,cpp,1,0
1185,day of the week,general,js,1,0
1189,maximum number of balloons,general,cpp,1,0
1190,reverse substrings between each pair of parentheses,general,cpp,3,0
1192,critical connections in a network,general,cpp,1,1
1193,monthly transactions I,database,mysql,1,0
1200,minimum absolute difference,general,cpp,2,0
1201,ugly number III,general,cpp,0,1
1202,smallest string with swaps,general,cpp,1,0
1206,design skiplist,general,cpp,2,0
1207,unique number of occurrences,general,cpp,1,0
1208,get equal substrings within budget,general,cpp,1,1
1209,remove all adjacent duplicates in string II,general,cpp,1,1
1211,queries quality and percentage,database,mysql,2,0
1217,minimum cost to move chips to the same position,general,cpp,2,0
1218,longest arithmetic subsequence of given difference,general,cpp,1,1
1219,path with maximum gold,general,cpp,1,0
1220,count vowels permutation,general,cpp,2,0
1221,split a string in balanced strings,general,cpp,1,0
1222,queens that can attack the king,general,cpp,1,0
1232,check if it is a straight line,general,cpp,2,0
1233,remove sub folders from the filesystem,general,cpp,2,1
1235,maximum profit in job scheduling,general,cpp,1,3
1239,maximum length of a concatenated string with unique characters,general,cpp,1,0
1248,count number of nice subarrays,general,cpp,2,1
1249,minimum remove to make valid parentheses,general,cpp,1,0
1251,average selling price,database,mysql,1,0
1252,cells with odd values in a matrix,general,cpp,1,0
1254,number of closed islands,general,cpp,1,0
1255,maximum score words formed by letters,general,cpp,1,0
1260,shift 2D grid,general,cpp,3,0
1261,find elements in a contaminated binary tree,general,cpp,2,0
1266,minimum time visiting all points,general,cpp,1,0
1267,count servers that communicate,general,cpp,1,0
1268,search suggestions system,general,cpp,2,0
1275,find winner on a tic tac toe game,general,cpp,2,0
1277,count square submatrices with all ones,general,cpp,2,0
1280,students and examinations,database,mysql,1,0
1281,subtract the product and sum of digits of an integer,general,cpp,1,0
1282,group the people given the group size they belong to,general,cpp,1,0
1283,find the smallest divisor given a threshold,general,cpp,1,1
1287,element appearing more than 25 in sorted array,general,cpp,2,0
1289,minimum falling path sum II,general,cpp,2,1
1290,convert binary number in a linked list to integer,general,cpp,2,0
1291,sequential digits,general,cpp,3,1
1295,find numbers with even number of digits,general,cpp+js,3+1,0+0
1296,divide array in sets of k consecutive numbers,general,cpp,2,0
1299,replace elements with greatest elements on right side,general,cpp,2,0
1302,deepest leaves sum,general,cpp,2,0
1304,find n unique integers sum up to zero,general,cpp,1,0
1305,all elements in two binary search trees,general,cpp,1,0
1309,decrypt string from alphabet to integer mapping,general,cpp,2,0
1310,XOR queries of a subarray,general,cpp,2,0
1311,get watched videos by your friends,general,cpp,1,0
1314,matrix block sum,general,cpp,1,0
1315,sum of nodes with even valued grandparent,general,cpp,2,0
1316,distinct echo substrings,general,cpp,0,1
1317,convert integer to the sum of two no zero integers,general,cpp,2,0
1318,minimum flips to make a or b equal to c,general,cpp,3,0
1319,number of operations to make network connected,general,cpp,4,0
1323,maximum 69 number,general,cpp,2,0
1324,print words vertically,general,cpp,1,0
1325,delete leaves with a given value,general,cpp,2,0
1327,list the products ordered in a period,database,mysql,2,0
1329,sort the matrix diagonally,general,cpp,1,0
1331,rank transform of an array,general,cpp,2,0
1333,filter restaurants by vegan friendly price and distance,general,cpp,1,0
1334,find the city with the smallest number of neighbours at a threshold distance,general,cpp,1,0
1337,the k weakest rows in a matrix,general,cpp,5,0
1338,reduce array size to the half,general,cpp,1,0
1341,movie rating,database,mysql,2,0
1342,number of steps to reduce a number to zero,general,cpp,1,0
1344,angle between hands of a clock,general,cpp,1,0
1346,check if n and its double exist,general,cpp,3,0
1347,minimum number of steps to make two strings anagram,general,cpp,1,0
1348,tweet counts per frequency,general,cpp,1,0
1351,count negative numbers in a sorted matrix,general,cpp,3,0
1352,product of the last k numbers,general,cpp,1,1
1356,sort integers by the number of 1 bits,general,cpp,3,0
1357,apply discount every n orders,general,cpp,1,0
1359,count all valid pickup and delivery options,general,cpp,1,0
1360,number of days between two dates,general,js,1,0
1361,validate binary tree nodes,general,cpp,1,0
1362,closest divisors,general,cpp,1,0
1365,how many numbers are smaller than the current number,general,cpp,2,0
1366,rank teams by votes,general,cpp,3,0
1367,linked list in binary tree,general,cpp,1,0
1370,increasing decreasing string,general,cpp,1,0
1371,find the longest substring containing vowels in even counts,general,cpp,1,1
1373,maximum sum BST in binary tree,general,cpp,1,0
1374,generate a string with characters that have odd counts,general,cpp,1,0
1376,time needed to inform all employees,general,cpp,2,0
1378,replace employee id with the unique identifier,database,mysql,1,0
1379,find a corresponding node of a binary tree in a clone of that tree,general,cpp,1,0
1380,lucky numbers in a matrix,general,cpp,3,0
1381,design a stack with increment operation,general,cpp,2,0
1382,balance a binary search tree,general,cpp,1,0
1385,find the distance value between two arrays,general,cpp,2,0
1386,cinema seat allocation,general,cpp,1,0
1387,sort integers by the power value,general,cpp,3,0
1389,create target array in the given order,general,cpp,2,0
1392,longest happy prefix,general,cpp,0,1
1393,capital gain loss,database,mysql,2,0
1394,find lucky integer in an array,general,cpp,1,0
1395,count number of teams,general,cpp,2,0
1396,design underground system,general,cpp,2,0
1399,count largest group,general,cpp,2,0
1400,construct K palindrome strings,general,cpp,1,0
1401,circle and rectangle overlapping,general,cpp,1,0
1402,reducing dishes,general,cpp,1,0
1403,minimum subsequence in non increasing order,general,cpp,2,0
1404,number of steps to reduce a number in binary representation to one,general,cpp,2,0
1405,longest happy string,general,cpp,1,0
1406,stone game III,general,cpp,1,1
1407,top travellers,database,mysql,1,0
1408,string matching in an array,general,cpp,2,0
1413,minimum value to get positive step by step sum,general,cpp,2,0
1414,find the minimum number of fibonacci numbers whose sum is k,general,cpp,1,0
1417,reformat the string,general,cpp,1,0
1422,maximum score after splitting a string,general,cpp,1,0
1424,diagonal traverse II,general,cpp,4,0
1431,kid with the greatest number of candies,general,cpp,1,0
1432,max difference you can get from changing an integer,general,cpp,2,0
1433,check if a string can break another string,general,cpp,1,0
1436,destination city,general,cpp,3,0
1437,check if all 1s are at least length k places away,general,cpp,1,0
1438,longest continuous subarray with absolute diff less than or equal to limit,general,cpp,1,1
1441,build an array with stack operations,general,cpp,1,0
1442,count triplets that can form two arrays of equal XOR,general,cpp,2,0
1443,minimum time to collect all apples in a tree,general,cpp,1,0
1446,consecutive characters,general,cpp,2,0
1447,simplified fractions,general,cpp,1,0
1448,count good nodes in binary tree,general,cpp,1,0
1450,number of students doing homework at a given time,general,cpp,1,0
1451,rearrange words in a sentence,general,cpp,2,0
1455,check if a word occurs as a prefix of any word in a sentence,general,cpp+js,2+1,0+0
1456,maximum number of vowels in a substring of given length,general,cpp,1,0
1457,pseudo palindromic paths in a binary tree,general,cpp,1,0
1460,make two arrays equal by reversing subarrays,general,cpp,3,0
1461,check if a string contains all binary codes of size k,general,cpp,1,0
1462,course schedule IV,general,cpp,2,0
1463,cherry pickup II,general,cpp,1,1
1464,maximun product of two elements in an array,general,cpp,1,0
1466,reorder routes to make all paths lead to the city zero,general,cpp,1,0
1470,shuffle the array,general,cpp,5,0
1472,design browser history,general,cpp,1,0
1475,final prices with a special discount in a shop,general,cpp,1,0
1476,subrectangle queries,general,cpp,1,0
1480,running sum of 1D array,general,cpp,1,0
1481,least number of unique integers after k removals,general,cpp,3,0
1482,minimum number of days to make m bouquets,general,cpp,1,1
1484,group sold products by the date,database,mysql,1,0
1486,xor operation in an array,general,cpp,3,0
1491,average salary excluding the minimum and maximum salary,general,cpp,2,0
1492,the kth factor of n,general,cpp,1,0
1493,longest subarray of 1s after deleting one element,general,cpp,1,1
1496,path crossing,general,cpp,1,0
1497,check if array pairs are divisible by K,general,cpp,2,0
1502,can make arithmetic progression from sequence,general,cpp,2,0
1504,count submatrices with all ones,general,cpp,1,1
1507,reformat date,general,cpp+js,2+2,0+0
1508,range sum of sorted subarray sums,general,cpp,3,0
1509,minimum difference between largest and smallest value in three moves,general,cpp,2,0
1512,number of good pairs,general,cpp,4,0
1513,number of substrings with only 1s,general,cpp,1,1
1514,path with maximum probability,general,cpp,3,0
1517,find users with valid emails,database,mysql,1,0
1518,water bottles,general,cpp,1,0
1523,count odd numbers in an interval range,general,cpp,1,0
1524,number of subarrays with odd sum,general,cpp,1,1
1527,patients with a condition,database,mysql,1,0
1528,shuffle string,general,cpp+js,1+1,0+0
1530,number of good leaf nodes pairs,general,cpp,2,0
1534,count good triplets,general,cpp,1,0
1535,find the winner of an array game,general,cpp,1,0
1539,kth missing positive number,general,cpp,2,0
1544,make the string great,general,cpp,2,0
1545,find Kth bit in Nth binary string,general,cpp,2,0
1550,three consecutive odds,general,cpp,2,0
1551,minimum operations to make array equal,general,cpp,2,0
1552,magnetic force between two balls,general,cpp,1,0
1556,thousand seperator,general,cpp+js,1+1,0+0
1557,minimum number of vertices to reach all nodes,general,cpp,2,0
1558,minimum numbers of function calls to make target array,general,cpp,2,0
1559,detect cycles in 2D grid,general,cpp,2,0
1560,most visited sector in a circular track,general,cpp,1,0
1561,maximum number of coins you can get,general,cpp+js,1+1,0+0
1562,find latest group of size M,general,cpp,0,1
1566,detect pattern of length m repeated k or more times,general,cpp,1,0
1568,minimum number of days to disconnect island,general,cpp,1,0
1572,matrix diagonal sum,general,cpp,1,0
1576,replace all s to avoid consecutive repeating characters,general,cpp,1,0
1578,minimum time to make rope colorful,general,cpp,1,0
1579,remove max number of edges to keep graph fully traversable,general,cpp,1,0
1581,customers who visited but did not make any transactions,database,mysql,1,0
1582,special positions in a binary matrix,general,cpp,3,0
1584,minimum cost to connect all points,general,cpp,1,0
1587,bank account summary II,database,mysql,2,0
1588,sum of all odd length subarrays,general,cpp,3,0
1590,make sum divisible by P,general,cpp,1,1
1592,rearrange spaces between words,general,cpp,1,0
1593,split a string into the max number of unique substrings,general,cpp,1,0
1598,crawler log folder,general,cpp,2,0
1603,design parking system,general,cpp,2,0
1605,find valid matrix given row and column sums,general,cpp,1,0
1608,special array with x elements greater than or equal x,general,cpp,3,0
1609,even odd tree,general,cpp,2,0
1614,maximum nesting depth of the parentheses,general,cpp,2,0
1615,maximal network rank,general,cpp,2,0
1620,coordinate with maximum network quality,general,cpp,1,0
1624,largest substring between two equal characters,general,cpp,2,0
1626,best team with no conflicts,general,cpp,2,1
1627,graph connectivity with threshold,general,cpp,1,1
1629,slowest key,general,cpp,1,0
1630,arithmetic subarrays,general,cpp,2,0
1631,path with minimum effort,general,cpp,1,0
1633,percentge of users attended a contest,database,mysql,2,0
1636,sort array by increasing frequency,general,cpp,4,0
1637,widest vertical area between two points containing no points,general,cpp,1,0
1640,check array formation through concatenation,general,cpp,2,0
1641,count sorted vowel strings,general,cpp,5,0
1642,furthest building you can reach,general,cpp,1,0
1646,get maximum in generated array,general,cpp,1,0
1647,minimum deletions to make character frequencies unique,general,cpp,2,0
1652,defuse the bomb,general,cpp,2,0
1653,minimum deletions to make string balanced,general,cpp,2,0
1656,design an ordered stream,general,cpp,1,0
1657,determine if two strings are close,general,cpp,1,0
1658,minimum operations to reduce x to zero,general,cpp,2,2
1661,average time of process per machine,database,mysql,3,0
1662,check if two string arrays are equivalent,general,cpp,1,0
1667,fix names in a table,database,mysql,1,0
1668,maximum repeating substring,general,cpp,2,0
1669,merge in between linked lists,general,cpp,1,0
1670,design front middle back queue,general,cpp,1,0
1671,minimum number of removals to make mountain array,general,cpp,1,0
1672,richest customer wealth,general,cpp,1,0
1678,goal parser interpretation,general,cpp,1,0
1679,max number of k sum pairs,general,cpp,2,0
1683,invalid tweets,database,mysql,1,0
1684,count the number of consistent strings,general,cpp,1,0
1685,sum of absolute differences in a sorted array,general,cpp,2,1
1688,count of matches in tournament,general,cpp,3,0
1693,daily leads and partners,database,mysql,1,0
1694,reformat phone number,general,cpp,1,0
1697,checking existence of edge length limited paths,general,cpp,1,1
1700,number of students unable to eat lunch,general,cpp,2,0
1701,average waiting time,general,cpp,1,0
1704,determine if string halves are alike,general,cpp+js,1+1,0+0
1706,where will the ball fall,general,cpp,1,0
1710,maximum units on a truck,general,cpp,3,0
1716,calculate money in leetcode bank,general,cpp,1,0
1717,maximum score from removing substrings,general,cpp,2,0
1720,decode xored array,general,cpp,1,0
1721,swapping nodes in a linked list,general,cpp,1,0
1725,number of rectangles that can form the largest square,general,cpp,1,0
1726,tuple with same product,general,cpp,1,0
1729,find followers count,database,mysql,1,0
1731,the number of employees which report to each employee,database,mysql,1,0
1732,find the highest altitude,general,cpp,1,0
1736,latest time by replacing hidden digits,general,cpp,1,0
1741,find total time spent by each employee,database,mysql,1,0
1742,maximum number of balls in a box,general,cpp,1,0
1743,restore the array from adjacent pairs,general,cpp,1,0
1748,sum of unique elements,general,cpp,2,0
1750,minimum length of string after deleting similar ends,general,cpp,1,0
1752,check if array is sorted and rotated,general,cpp,1,0
1753,maximum score from removing stones,general,cpp,3,0
1757,recyclable and low fat products,database,mysql,1,0
1758,minimum changes to make alternating binary string,general,cpp,1,0
1760,minimum limit of balls in a bag,general,cpp,1,1
1761,minimum degree of a connected trio in a graph,general,cpp,1,0
1763,longest nice substring,general,cpp,4,0
1765,map of highest peak,general,cpp,1,0
1768,merge strings alternately,general,cpp,1,0
1769,minimum number of operations to move all balls to each box,general,cpp,3,0
1773,count items matching a rule,general,cpp,1,0
1779,find nearest point that has the same x or y coordinate,general,cpp,1,0
1780,check if number is a sum of powers of three,general,cpp,1,0
1784,check if binary string has at most one segment of ones,general,cpp,1,0
1789,primary department for each employee,database,mysql,1,0
1790,check if one string swap can make strings equal,general,cpp,1,0
1791,find center of star graph,general,cpp,1,0
1793,maximum score of a good subarray,general,cpp,1,0
1795,rearrange products table,database,mysql,2,0
1796,second largest digit in a string,general,cpp,1,0
1797,design authentication manager,general,cpp,1,0
1798,maximum number of consecutive values you can make,general,cpp,1,0
1800,maximum ascending subarray sum,general,cpp,1,0
1803,count pairs with XOR in a range,general,cpp,0,1
1805,number of different integers in a string,general,cpp,1,0
1812,determine color of a chessboard square,general,cpp,1,0
1813,sentence similarity III,general,cpp,1,0
1814,count nice pairs in an array,general,cpp,2,1
1816,truncate sentence,general,cpp,1,0
1822,sign of the product of an array,general,cpp,1,0
1823,find the winner of the circular game,general,cpp,2,0
1825,finding MK average,general,cpp,0,1
1827,minimum operations to make the array increasing,general,cpp,1,0
1828,queries on number of points inside a circle,general,cpp,1,0
1832,check if the sentence is pangram,general,cpp,2,0
1833,maximum ice cream bars,general,cpp,2,0
1834,single threaded cpu,general,cpp,1,0
1837,sum of digits in base k,general,cpp,1,0
1838,frequency of the most frequent element,general,cpp,1,1
1844,replace all digits with characters,general,cpp,1,0
1845,seat reservation manager,general,cpp,2,0
1846,maximum element after decreasing and rearranging,general,cpp,2,0
1848,minimum distance to the target element,general,cpp,1,0
1851,minimum interval to include each query,general,cpp,1,1
1854,maximum population year,general,cpp,2,0
1857,largest color value in a directed graph,general,cpp,1,0
1859,sorting the sentence,general,cpp,1,0
1863,sum of all subset xor totals,general,cpp,3,0
1865,finding pairs with a certain sum,general,cpp,1,0
1869,longest contiguous segments of ones than zeros,general,cpp,1,0
1870,minimum speed to arrive on time,general,cpp,1,1
1873,calculate special bonus,database,mysql,2,0
1876,substrings of size three with distinct characters,general,cpp,2,0
1877,minimize maximum pair sum in array,general,cpp,1,0
1880,check if word equals summation of two words,general,cpp,1,0
1881,maximum value after insertion,general,cpp,1,0
1886,determine whether matrix can be obtained by rotation,general,cpp,2,0
1887,reduction operations to make the array elements equal,general,cpp,2,0
1890,the latest login in 2020,database,mysql,1,0
1893,check if all the integers in a range are covered,general,cpp,1,0
1894,find the student that will replace the chalk,general,cpp,1,0
1897,redistribute characters to make all strings equal,general,cpp,1,0
1899,merge triplets to form target triplet,general,cpp,1,0
1903,largest odd number in string,general,cpp,1,1
1905,count sub islands,general,cpp,2,0
1907,count salary categories,database,mysql,2,0
1909,remove one element to make the array strictly increasing,general,cpp,2,0
1911,maximum alternating subsequence sum,general,cpp,3,1
1912,design movie rental system,general,cpp,1,0
1913,maximum product difference between two pairs,general,cpp,3,0
1915,number of wonderful substrings,general,cpp,2,3
1916,mean of array after removing some elements,general,cpp,1,0
1920,build array from permutation,general,cpp+js,3+1,0+0
1925,count square sum triples,general,cpp,2,0
1926,nearest exit from entrance in maze,general,cpp,2,0
1929,concatenation of array,general,cpp,1,0
1930,unique length 3 palindromic subsequences,general,cpp,1,2
1934,confirmation rate,database,mysql,1,0
1935,maximum number of words you can type,general,cpp,2,0
1937,maximum number of points with cost,general,cpp,1,2
1941,check if all characters have equal number of occurences,general,cpp,2,0
1942,the number of the smallest unoccupied chair,general,cpp,1,0
1945,sum of digits of string after convert,general,cpp,1,0
1952,three divisors,general,cpp,2,0
1957,delete characters to make fancy string,general,cpp+js,2+2,0+0
1961,check if string is a prefix of array,general,cpp,2,0
1962,remove stones to minimize the total,general,cpp,1,0
1963,minimum number of swaps to make the string balanced,general,cpp,1,0
1965,employees with missing information,database,mysql,2,0
1967,number of strings that appear as substrings in word,general,cpp,3,0
1968,array with elements not equal to average of neighbours,general,cpp,3,0
1971,find if path exists in graph,general,cpp,4,0
1974,minimum time to type word using special typewriter,general,cpp,1,0
1976,number of ways to arrive at destination,general,cpp,1,0
1978,employees whose manager left the company,database,mysql,2,0
1979,find greatest common divisor of array,general,cpp,1,0
1980,find unique binary string,general,cpp,1,0
1984,minimum difference between highest and lowest of k scores,general,cpp,1,0
1985,find the kth largest integer in the array,general,cpp,1,0
1991,find the middle index in array,general,cpp,1,0
1992,find all groups of farmland,general,cpp,1,0
1995,count special quadruplets,general,cpp,2,0
1996,the number of weak characters in the game,general,cpp,2,1
2000,reverse prefix of word,general,cpp,1,0
2001,number of pairs of interchangeable rectangles,general,cpp,1,1
2002,maximum product of the length of two palindromic subsequences,general,cpp,1,0
2006,count number of pairs with absolute difference k,general,cpp,3,0
2007,find original array from doubled array,general,cpp,2,0
2009,minimum number of operations to make array continuous,general,cpp,0,1
2011,final value of variable after performing operations,general,cpp,1,0
2013,detect squares,general,cpp,2,0
2016,maximum difference between increasing elements,general,cpp,2,0
2017,grid game,general,cpp,1,0
2022,convert 1D array into 2D array,general,cpp,2,0
2024,maximize the confusion of an exam,general,cpp,1,0
2027,minimum moves to convert string,general,cpp,1,0
2028,find missing observations,general,cpp,2,0
2032,two out of three,general,cpp,3,0
2033,minimum operations to make a uni value grid,general,cpp,1,1
2034,stock price fluctuation,general,cpp,1,0
2037,minimum number of moves to seat everyone,general,cpp,2,0
2038,remove colored pieces if both neighbors are the same color,general,cpp,2,0
2042,check if numbers are ascending in a sentence,general,cpp,1,0
2043,simple bank system,general,cpp,1,0
2044,count number of maximum bitwise OR subsets,general,cpp,2,0
2045,second minimum time to reach destination,general,cpp,1,0
2047,number of valid words in a sentence,general,cpp,1,0
2048,next greater numerically balanced number,general,cpp,1,0
2049,count nodes with the highest score,general,cpp,1,0
2053,Kth distinct string in an array,general,cpp,2,0
2054,two best non overlapping events,general,cpp,2,1
2057,smallest index with equal value,general,cpp,1,0
2058,find the minimum and maximum number of nodes between critical points,general,cpp,2,0
2062,count vowel substrings of a string,general,cpp,2,0
2063,vowels of all substrings,general,cpp,1,1
2064,minimized maximum of products distributed to any store,general,cpp,1,1
2065,maximum path quality of a graph,general,cpp,1,0
2068,check whether two strings are almost equivalent,general,cpp,1,0
2073,time needed to buy tickets,general,cpp,1,0
2078,two furthest houses with different colors,general,cpp,2,0
2079,watering plants,general,cpp,1,0
2080,range frequency queries,general,cpp,1,2
2082,the number of rich customers,database,mysql,2,0
2085,count common words with one occurence,general,cpp,2,0
2089,find target indices after sorting array,general,cpp,2,0
2090,k radius subarray averages,general,cpp,1,1
2092,find all people with secret,general,cpp,2,0
2094,finding 3 digit even numbers,general,cpp,2,0
2095,delete the middle node of a linked list,general,cpp,2,0
2096,step by step directions from a binary tree node to another,general,cpp,1,2
2099,find the subsequence of length k with the largest sum,general,cpp,2,0
2100,find good days to rob the bank,general,cpp,2,1
2101,detonate the maximum bombs,general,cpp,2,0
2102,sequentially ordinal rank tracker,general,cpp,0,1
2103,rings and rods,general,cpp,1,0
2104,sum of subarray ranges,general,cpp,1,0
2108,find first palindromic string in the array,general,cpp,1,0
2109,adding spaces to a string,general,cpp+js,2+1,0+0
2110,number of smooth descent periods of a stock,general,cpp,1,1
2114,maximum number of words found in sentences,general,cpp,1,0
2119,a number after a double reversal,general,cpp,1,0
2120,execution of all suffix instructions staying in a grid,general,cpp,1,0
2124,check if all a's appears before all b's,general,cpp,1,0
2125,number of laser beams in a bank,general,cpp,1,0
2126,destroying asteroids,general,cpp,1,0
2129,capitalize the title,general,cpp,2,0
2130,maximum twin sum of a linked list,general,cpp,4,0
2133,check if every row and column contains all numbers,general,cpp,2,0
2134,minimum swaps to group all 1s together II,general,cpp,2,0
2138,divide a string into groups of size k,general,cpp,2,0
2140,solving questions with brainpower,general,cpp,2,2
2144,minimum cost of buying candies with discount,general,cpp,1,0
2147,number of ways to divide a long corridor,general,cpp,1,0
2148,count elements with strictly smaller and greater elements,general,cpp,1,0
2149,rearrange array elements by sign,general,cpp,2,0
2154,keep multiplying found values by two,general,cpp,1,0
2160,minimum sum of four digit number after splitting digits,general,cpp,2,0
2161,partition array according to given pivot,general,cpp,1,0
2164,sort even and odd indices independently,general,cpp,1,0
2165,smallest value of the rearranged number,general,cpp,1,0
2166,design bitset,general,cpp,1,3
2169,count operations to obtain zero,general,cpp,1,0
2176,count equal and divisible pairs in an array,general,cpp,2,0
2177,find three consecutive integers that sum to a given number,general,cpp,1,0
2180,count integers with even digit sum,general,cpp,1,0
2181,merge nodes in between zeros,general,cpp,2,0
2183,count array pairs divisible by K,general,cpp,0,1
2185,counting words with a given prefix,general,cpp+js,3+2,0+0
2190,most frequent number following key in an array,general,cpp,1,0
2191,sort the jumbled numbers,general,cpp,2,0
2192,all ancestors of a node in a directed acyclic graph,general,cpp,2,0
2194,cells in a range on an excel sheet,general,cpp,1,0
2196,create binary tree from descriptions,general,cpp,1,0
2200,find all k distant indices in an array,general,cpp,1,0
2206,divide array into equal pairs,general,cpp,1,0
2210,count hills and valleys in an array,general,cpp,1,0
2211,count collisions on a road,general,cpp,2,0
2215,find the difference of two arrays,general,cpp,2,0
2218,maximum value of K coins from piles,general,cpp,0,1
2220,minimum bit flips to convert number,general,cpp,3,0
2221,find triangular sum of an array,general,cpp,2,0
2224,minimum number of operations to convert time,general,cpp,2,0
2226,maximum candies allocated to K children,general,cpp,1,1
2231,largest number after digit swaps by parity,general,cpp,1,0
2235,add two integers,general,cpp,1,0
2236,root equals sum of children,general,cpp,1,0
2239,find closest number to zero,general,cpp,1,0
2243,calculate digit sum of a string,general,cpp,1,0
2244,minimum rounds to complete all tasks,general,cpp,2,0
2246,longest path with different adjacent characters,general,cpp,0,1
2248,intersection of multiple arrays,general,cpp,1,0
2249,count lattice points inside a circle,general,cpp,2,0
2255,count prefixes of a given string,general,cpp,1,0
2257,count unguarded cells in the grid,general,cpp,1,0
2259,remove digit from number to maximize result,general,cpp,1,0
2261,K divisible elements subarrays,general,cpp,1,0
2264,largest 3 same digit number in string,general,cpp,2,0
2265,count nodes equal to average of subtree,general,cpp,1,0
2269,find the k beauty of a number,general,cpp,1,0
2270,number of ways to split array,general,cpp,1,0
2273,find resultant array after removing anagrams,general,cpp,1,0
2275,largest combination with bitwise and greater than zero,general,cpp,1,0
2276,count integers in intervals,general,cpp,0,1
2278,percentage of letter in string,general,cpp,1,0
2279,maximum bags with full capacity of rocks,general,cpp,1,0
2280,minimum lines to represent a line chart,general,cpp,1,0
2283,check if number has equal digit count and digit value,general,cpp,1,0
2284,sender with largest word count,general,cpp,1,0
2285,maximum total importance of roads,general,cpp,1,0
2287,rearrange characters to make target string,general,cpp,1,0
2293,min max game,general,cpp,1,0
2295,replace elements in an array,general,cpp,1,0
2299,strong password checker II,general,cpp,1,0
2300,successful pairs of spells and potions,general,cpp,1,1
2302,count subarrays with score less than K,general,cpp,1,1
2303,calculate amount paid in taxes,general,cpp,1,0
2306,naming a company,general,cpp,0,1
2309,greatest english letter in upper and lower case,general,cpp,1,0
2315,count asterisks,general,cpp,1,0
2316,count unreachable pair of nodes in an undirected graph,general,cpp,2,0
2319,check if matrix is x matrix,general,cpp,1,0
2325,decode the message,general,cpp,1,0
2326,spiral matrix IV,general,cpp,1,0
2328,number of increasing paths in a grid,general,cpp,1,1
2331,evaluate boolean binary tree,general,cpp,1,0
2333,minimum sum of squared difference,general,cpp,1,1
2335,minimum amount of time to fill cups,general,cpp,2,0
2336,smallest number in infinite set,general,cpp,1,0
2337,move pieces to obtain a string,general,cpp,1,0
2341,maximum number of pairs in array,general,cpp,1,0
2342,max sum of a pair with equal sum of digits,general,cpp,1,1
2343,query Kth smallest trimmed number,general,cpp,2,0
2348,number of zero filled subarrays,general,cpp,1,1
2349,design a number container system,general,cpp,1,0
2351,first letter to appear twice,general,cpp,1,0
2352,equal row and column pairs,general,cpp,5,0
2353,design a food rating system,general,cpp,2,0
2356,number of unique subjects taught by each teacher,database,mysql,2,0
2357,make array zero by subtracting equal amounts,general,cpp,3,0
2359,find closest node to given two nodes,general,cpp,2,0
2360,longest cycle in a graph,general,cpp,0,1
2363,merge similar items,general,cpp,2,0
2364,count number of bad pairs,general,cpp,1,1
2367,number of arithmetic triplets,general,cpp,2,0
2368,reachable nodes with restrictions,general,cpp,2,0
2369,check if there is a valid partition for the array,general,cpp,3,1
2370,longest ideal subsequence,general,cpp,1,2
2373,largest local values in a matrix,general,cpp,2,0
2374,node with highest edge score,general,cpp,1,0
2376,count special integers,general,cpp,0,1
2380,time needed to rearrange a binary string,general,cpp,1,0
2381,shifting letters II,general,cpp,1,1
2383,minimum hours of training to win a competition,general,cpp,1,0
